"site","begin_date","end_date","n_days"
"'14158850",1992-07-01,2022-04-13,2183
"'14159200",1985-10-01,2022-04-13,8302
"'14159500",1985-09-30,2022-04-12,12386
"'14161100",1978-06-01,2022-04-13,7328
"'14161500",2012-04-05,2022-04-13,3651
"'14162200",1985-10-01,2022-04-13,12215
"'14162500",1978-02-07,2022-04-13,10388
"'14163150",1992-06-11,2022-04-13,2184
"'14164900",2009-06-25,2022-04-13,4676
"'14166000",1985-10-01,2022-04-13,8305
"'14169000",2001-08-08,2022-04-13,7054
"'14170000",2001-08-08,2022-04-13,1719
"'14174000",2001-08-11,2022-04-13,7486
"'14178000",1985-10-01,2022-04-13,9251
"'14179000",1985-10-01,2022-04-13,9147
"'14180300",1998-10-09,2022-04-13,8563
"'14181500",1985-10-01,2022-04-13,12453
"'14182500",1985-10-01,2022-04-13,6333
"'14184100",1985-04-26,2022-04-13,5152
"'14185000",1986-10-01,2022-04-13,5222
"'14185900",1985-10-01,2022-04-13,5461
"'14187200",1985-10-01,2022-04-13,11206
"'14187500",1985-10-01,2022-04-13,2389
"'14197900",2001-10-19,2022-04-13,6211
"'14202000",1993-08-07,2020-04-19,1874
"'14202980",2002-05-01,2022-04-13,7153
"'14205400",2002-09-07,2020-06-30,3764
"'14206950",1993-10-18,2022-04-13,7841
"'14210000",2001-07-12,2022-04-13,7282
"'14211010",2002-06-21,2022-04-13,7191
"'14211400",1999-01-20,2022-04-13,8402
"'14211499",2000-01-29,2022-04-13,7915
"'14211500",1998-04-28,2022-04-13,8736
"'14211550",1998-05-07,2022-04-13,8704
"'14211720",2001-11-02,2022-04-13,6223
"'14316495",1999-02-10,2022-04-13,7335
"'14316500",1998-06-26,2022-04-13,7109
"'14318000",1999-06-25,2022-04-13,8283
"'14319500",1985-10-01,2022-04-13,4013
"'14320934",2007-08-31,2022-04-13,5202
"'14330000",1985-10-01,2022-04-13,12682
"'14337600",1985-10-01,2022-04-13,13113
"'14338000",1985-10-04,2022-04-13,13062
"'14339000",1985-10-01,2022-04-13,13030
"'14359000",1995-10-03,2022-04-13,8894
"'14361500",1985-10-01,2022-04-13,6030
"'14362000",1985-10-01,2022-04-13,12916
"'14366000",1985-09-30,2022-04-13,12985
"'14369500",1985-10-01,2022-04-13,12485
"'14372300",1985-10-01,2022-04-13,10540
"'394220106431500",2006-04-29,2022-04-14,5796
"'402114105350101",2002-05-15,2022-04-14,2555
