"site","begin_date","end_date","n_days"
"'02203700",2003-06-04,2022-04-14,6732
"'02207120",2001-08-16,2022-04-14,7428
"'02207185",2001-03-01,2022-04-14,7581
"'02207385",2001-03-03,2022-04-14,7430
"'02207400",2001-03-01,2022-04-14,7627
"'02208150",2000-10-01,2022-04-14,7417
"'02208450",2014-10-21,2022-04-14,2687
"'02212600",1976-09-10,2020-10-09,4242
"'02217274",2001-06-30,2022-04-14,7517
"'02218565",2001-07-13,2022-04-14,7453
"'02219000",2013-10-01,2021-04-19,2369
"'02223056",2013-11-08,2020-11-16,1815
"'02225000",1971-04-01,2022-04-14,3678
"'02232400",2000-08-16,2022-04-13,3715
"'02234000",2007-12-12,2021-09-30,2531
"'02244040",1995-04-29,2022-04-13,6392
"'02246459",2015-10-29,2022-04-13,2284
"'02264000",2001-07-12,2022-04-13,3794
"'02264100",2001-07-06,2022-04-13,4612
"'02266200",2001-12-20,2022-04-13,4006
"'02266300",1977-06-22,2022-04-13,13086
"'02313700",2002-10-01,2022-04-13,2942
"'02317500",2016-01-01,2020-09-30,1658
"'02318500",2016-01-01,2022-04-14,972
"'02321500",2015-10-01,2022-04-13,2204
"'02322500",2015-08-22,2022-04-13,2402
"'02322800",2015-09-01,2022-04-13,2400
"'02330450",2003-07-17,2022-04-13,6512
"'02333500",2011-10-01,2020-10-27,3057
"'02334430",1975-08-28,2022-04-14,7017
"'02334480",2001-05-17,2022-04-14,7560
"'02334578",2001-05-10,2022-04-14,7568
"'02334885",1994-10-06,2022-04-14,8478
"'02335000",1976-10-01,2022-04-14,7157
"'02335350",2001-03-24,2022-04-14,7603
"'02335450",2004-01-29,2022-04-14,4631
"'02335815",2004-01-13,2022-04-14,3469
"'02335870",2011-09-30,2022-01-12,3075
"'02336000",1975-11-05,2022-04-14,6960
"'02336030",2001-06-20,2022-04-14,7511
"'02336120",2003-06-28,2022-04-14,6750
"'02336240",2003-06-07,2022-04-14,6678
"'02336300",2003-04-17,2022-04-14,6503
"'02336360",2003-05-24,2022-04-14,6806
"'02336410",1994-08-23,2022-04-14,7771
"'02336526",2003-04-11,2022-04-14,6695
"'02336728",1994-09-01,2022-04-14,7576
"'02337000",2014-09-12,2022-04-14,2749
"'02337170",1975-08-26,2022-04-14,14593
"'02337410",2007-07-25,2022-04-14,5190
"'02337498",2014-10-01,2022-04-13,2273
"'02338523",2014-10-01,2022-04-14,2716
"'02344630",2008-05-20,2022-04-14,5021
"'02382500",2005-03-12,2022-04-14,1589
"'02385800",2005-01-13,2022-04-14,4015
"'02392000",2014-05-09,2022-04-13,2449
