ID,Site,LAT_GAGE,LNG_GAGE
md121,'03076500,39.65361111,-79.40830556
md122,'14091500,44.6262275,-121.4839433
md123,'01481500,39.76941667,-75.57327778
md124,'04142000,44.07252031,-84.01999392
md125,'03102850,41.35366634,-80.39784533
md126,'03036000,40.92756532,-79.29115083
md127,'03106000,40.8170092,-80.24228371
md128,'04121944,43.430858,-85.595599
md129,'14330000,42.73040519,-122.5164248
md130,'08070200,30.1454932,-95.12437563
md131,'03079000,39.85979992,-79.22753116
md132,'14145500,43.72206768,-122.438659
md133,'04200500,41.38032368,-82.10459279
md134,'11176900,37.62659915,-121.8830126
md135,'07364133,33.86638889,-91.65611111
md137,'03077500,39.80535485,-79.36420187
md138,'06037500,44.6568722,-111.0682742
md139,'04213500,42.46395001,-78.9350347
md140,'01518700,41.95257385,-77.11524856
md141,'02160700,34.50930392,-81.59815943
md142,'05524500,40.87059306,-87.30669117
md143,'14181500,44.75262194,-122.298412
md144,'01425000,42.07480591,-75.39600945
md145,'01417500,42.02480929,-75.11988987
md146,'14316500,43.29595427,-122.5367127
md147,'03020000,41.47895111,-79.4458796
md148,'14366000,42.2415113,-123.1400485
md149,'01400500,40.555,-74.5836111
md150,'10261500,34.57304916,-117.3206018
md151,'03189100,38.29094494,-80.64092421
md152,'05515500,41.40004234,-86.70112916
md153,'03524000,36.94482952,-82.15485693
md154,'14187200,44.41234682,-122.6886956
md155,'02321500,29.92190732,-82.42622461
md156,'03094000,41.23922335,-80.88064197
lg1,'03103500,41.26616682,-80.47256971
lg2,'12210700,48.841782,-122.294326
lg3,'01432110,41.475923,-75.036281
lg4,'01426500,42.00314017,-75.38350814
lg6,'394220106431500,39.705,-106.725833
lg7,'08086212,32.73289717,-99.14062992
lg8,'04027000,46.48661442,-90.69629696
lg9,'11179000,37.58715679,-121.960793
lg10,'06188000,44.92771567,-110.3938099
lg11,'01611500,39.5823158,-78.30973117
lg12,'14210000,45.29984346,-122.3539746
lg13,'14369500,42.35400581,-123.4067276
lg15,'03069500,39.12288353,-79.68117409
lg16,'04165500,42.59586743,-82.90880998
lg17,'14184100,44.7079,-122.97287
lg18,'12213100,48.84483249,-122.5893389
lg19,'02160105,34.53541633,-81.54815796
lg20,'03061000,39.42230818,-80.27591867
lg22,'01421000,41.97314277,-75.17405814
lg23,'08068000,30.24465738,-95.45716163
lg24,'03200500,38.33898309,-81.84151796
lg25,'04124000,44.43639239,-85.69867924
lg26,'07177500,36.27842528,-95.9541622
lg27,'03054500,39.15037545,-80.03869104
lg28,'14162500,44.12484874,-122.47062
lg29,'07106500,38.28778013,-104.6010849
lg30,'14148000,43.80123517,-122.5608879
lg31,'06038500,44.86659278,-111.338288
lg32,'14211010,45.379287,-122.577313
lg33,'14337600,42.65540354,-122.7150408
lg34,'03451500,35.60888889,-82.57805556
lg35,'01549700,41.27368301,-77.32414028
lg36,'09406000,37.20414942,-113.1807789
lg37,'11302000,37.85159385,-120.6379816
lg38,'04124200,44.36306,-85.820905
lg39,'02322500,29.84884769,-82.71512037
lg40,'14150000,43.9456815,-122.8372967
lg41,'03081000,39.82757674,-79.37253534
lg42,'02334430,34.15694444,-84.07888889
lg43,'04176500,41.96060084,-83.53104619
lg44,'03099500,41.03672598,-80.5361815
lg45,'10348200,39.51761667,-119.7416444
lg46,'11303000,37.72965078,-121.1104934
lg47,'04136000,44.676959,-84.292515
lg48,'09149500,38.74192846,-108.0809032
lg49,'02394000,34.16315298,-84.74104742
lg50,'02110500,33.9126719,-78.71501746
lg51,'14164900,44.071237,-122.964527
lg52,'06038800,44.889369,-111.580243
lg53,'02335000,33.99722222,-84.20194444
lg54,'03056000,39.31981459,-80.02507794
lg55,'14339000,42.52484711,-122.8428203
lg56,'09205000,42.56716598,-109.930151
lg57,'13340600,46.84046563,-115.6207033
lg58,'02232400,28.36972837,-80.8725578
lg59,'08181500,29.26412761,-98.49084933
lg60,'11467000,38.50852336,-122.9277737
lg61,'14152000,43.99818166,-122.9059126
lg62,'03057000,39.43508661,-80.13257887
lg63,'14319500,43.27205997,-123.4122993
lg64,'04136500,44.66001385,-84.13111674
lg65,'03044000,40.45451171,-79.39087237
lg66,'03183500,37.72428744,-80.64146806
lg67,'04125550,44.25945,-85.941742
lg68,'02317500,30.70410062,-83.03319553
lg69,'02110704,33.829893,-79.043647
lg70,'02336000,33.85916667,-84.45444444
lg71,'01608500,39.44703879,-78.65418167
lg72,'01542500,41.11755906,-78.10889601
lg73,'04136900,44.612778,-83.837778
lg74,'02322800,29.911621,-82.860403
lg75,'05055300,47.907783,-99.416242
lg76,'01427207,41.86731,-75.213783
lg77,'11501000,42.58458091,-121.8497366
lg78,'10351600,39.58463448,-119.4412872
lg79,'04137005,44.560847,-83.802764
lg80,'03011020,42.15645225,-78.71530884
lg81,'07198000,35.5731511,-95.0688458
lg82,'09328500,38.85830812,-110.3701469
lg83,'12362500,48.3566308,-114.037618
lg84,'03083500,40.24007039,-79.80643449
lg86,'10351700,39.77737222,-119.3375222
lg87,'09314500,39.26385827,-110.3465461
lg88,'08181800,29.22218531,-98.35584627
lg89,'04137500,44.43640447,-83.4338609
lg91,'01427510,41.75675495,-75.05738968
lg92,'11290000,37.62687523,-120.9879889
lg93,'03353611,39.714489,-86.200543
lg94,'11446500,38.63546011,-121.2277262
lg95,'01428500,41.5089782,-74.98572346
lg96,'14359000,42.43734597,-122.9872678
lg97,'02337170,33.65666667,-84.67361111
lg98,'09171100,38.35693374,-108.8334347
lg99,'03012550,41.84144917,-79.01198463
lg100,'06041000,45.49020577,-111.6341382
lg101,'03105500,40.88867389,-80.33700835
lg102,'12340000,46.89965,-113.7564872
lg103,'03346500,38.723611,-87.664444
lg104,'04121970,43.434746,-85.665324
lg105,'02168504,34.050982,-81.209542
lg106,'03354000,39.4975477,-86.40054952
lg107,'14361500,42.43039607,-123.3178365
lg108,'04231600,43.141722,-77.616306
lg109,'02169000,34.01404162,-81.0878717
lg111,'06191500,45.1118797,-110.7943814
lg112,'14076500,44.49872933,-121.3211558
lg113,'10301500,39.1524611,-119.0988889
lg114,'02156500,34.5962504,-81.4220423
lg115,'02135000,34.05710829,-79.24698974
lg116,'05057000,47.43277097,-98.02759541
lg117,'11502500,42.56485858,-121.8794593
lg119,'07312500,33.90954178,-98.53366629
lg120,'09355500,36.8013939,-107.6981135
lg121,'06711565,39.66498738,-105.0041491
lg122,'04024000,46.70327639,-92.41880167
lg124,'14166000,44.27040126,-123.1737036
lg125,'04101500,41.8292138,-86.25973245
lg126,'09302000,40.21551712,-109.7834764
lg127,'11507500,42.223478,-121.794171
lg128,'04067500,45.32580895,-87.663446
lg129,'14372300,42.58038667,-124.0595333
lg131,'05058000,47.03387183,-98.08370769
lg133,'03072655,39.82507696,-79.92283293
lg134,'14087400,44.49234074,-121.298377
lg135,'09180000,38.79720805,-109.1951142
lg137,'07099970,38.253614,-104.606085
lg138,'14174000,44.63873283,-123.1067616
lg139,'04249000,43.45173505,-76.50521917
lg140,'05527500,41.34669805,-88.18644871
lg141,'05595000,38.32921611,-89.87926914
lg143,'03075070,40.26229225,-79.90115974
lg144,'13340000,46.47833333,-116.2575
lg145,'09144250,38.75303944,-108.0784031
lg148,'07109500,38.24805799,-104.3991356
lg150,'040851385,44.528604,-88.010104
lg151,'05054000,46.86107501,-96.7836924
lg152,'02244040,29.596358,-81.683138
lg153,'11509500,42.13319946,-121.9622313
lg154,'09365000,36.72278043,-108.2256302
lg155,'05440700,42.123081,-89.25594
lg156,'13341050,46.50027778,-116.3925
lg157,'14092500,44.72595225,-121.2469939
lg158,'14197900,45.284563,-122.961489
lg159,'11261500,37.3099386,-120.9310369
lg160,'13342500,46.44849828,-116.8273749
lg161,'14103000,45.62206783,-120.9025647
lg164,'14211720,45.51845163,-122.6678735
lg165,'01540500,40.95814218,-76.61912225
lg166,'11274550,37.43188,-121.01382
lg167,'07239450,35.616993,-98.065332
lg168,'07239700,35.539499,-97.742544
lg169,'07241520,35.565615,-97.367258
lg170,'11390500,39.00989476,-121.82469
lg171,'08317400,35.61780874,-106.3244705
lg172,'06054500,46.14604028,-111.42052
lg173,'09234500,40.90829296,-109.422914
lg174,'08126380,31.71542973,-100.0264755
lg175,'06066500,46.994665,-112.0111108
lg176,'09163500,39.13276047,-109.0270546
