"Site","JanQ","FebQ","MarQ","AprQ","MayQ","JunQ","JulQ","AugQ","SeptQ","OctQ","NovQ","DecQ"
"lg63","4170","3960","5165","5240","2800","1810","1030"," 811"," 886","1125","1485","2775"
"lg64","1050.0","1030.0","1255.0","1575.0","1485.0","1160.0"," 922.5"," 858.5"," 849.5","1010.0","1120.0","1040.0"
"lg65","3400.0","5110.0","3285.0","4035.0","2825.0","2245.0","1315.0"," 797.5"," 597.5"," 673.0","1290.0","2315.0"
"lg66","2110.0","2410.0","2725.0","3040.0","2430.0"," 986.0"," 379.5"," 429.5"," 231.0"," 447.0"," 547.5","1610.0"
"lg67","2005","1910","2185","2480","2230","1985","1695","1600","1650","1795","1950","1950"
"lg68","1400.00","1720.00","1080.00"," 504.00"," 178.00"," 379.50"," 321.00"," 299.50"," 255.50","  90.60","  73.45"," 239.00"
"lg69","1690.0","1550.0","1090.0","1425.0"," 770.0","1435.0"," 864.5","1945.0","3340.0","1570.0"," 951.0","1355.0"
"lg70","2135","2580","4530","3675","2870","2575","1805","1730","1335","1155","1230","1370"
"lg71","1375.0","1700.0","1380.0","2105.0","2275.0"," 916.0"," 486.0"," 523.5"," 222.0"," 312.5"," 318.5"," 641.5"
"lg72","3150.0","4160.0","3075.0","3925.0","3375.0","2405.0","1350.0"," 798.0"," 526.5"," 764.0","1525.0","2425.0"
"lg73","1220","1230","1465","1760","1685","1350","1100","1030","1030","1190","1320","1230"
"lg74","1825","1570","1740","1745","1545","1670","1750","2400","2150","1865","1710","1645"
"lg75","  3.005","  9.000"," 20.600","217.500"," 89.900"," 45.250"," 33.350","  4.540","  5.035"," 11.020"," 14.650","  7.500"
"lg76","2885","3140","2830","5265","4050","1575","1205","1475","1150","1385","1705","1970"
"lg77"," 325.5"," 368.0"," 636.0","1260.0"," 791.0"," 335.0"," 195.5"," 174.0"," 197.0"," 235.0"," 246.0"," 283.0"
"lg78"," 390.0"," 465.0","1820.0","3580.0","1870.0"," 754.0"," 404.5"," 318.5"," 306.5"," 287.5"," 328.5"," 408.0"
"lg79","1270","1270","1505","1790","1710","1365","1125","1080","1095","1230","1365","1260"
