"Site","JanTS","FebTS","MarTS","AprTS","MayTS","JunTS","JulTS","AugTS","SepTS","OctTS","NovTS","DecTS"
"sm49",0.210626973813228,0.204773586019659,0.26835683280715,0.214213763495134,0.208978447717362,0.2541756598516,0.29495973289165,0.278235554150963,0.412529267868906,0.294665784852312,0.334727395154069,0.214181902930766
"sm50",0.101707868450742,0.116359192932908,0.138225467144361,0.135463341946004,0.102817184095234,0.073561156701903,0.0712776562274792,-0.0253537679652168,0.297584646906928,0.232727409104909,0.182815857263387,0.126544339998353
"sm51",0.0960288115827745,0.0563919915455839,0.123304008887755,0.265114291560109,0.352234914362726,0.352569077997836,0.355096654570984,0.247620409074822,0.268411061741587,0.336808199115696,0.182912535282776,0.147933088802077
"sm53",0.0745043039448532,0.0784290342352422,0.210612820863728,0.504863556833666,0.506501641987592,0.514435443035897,0.472939694984122,0.508338983736276,0.508499791278699,0.560299843424201,0.503562783119403,0.155143749041701
"sm55",0.381007284459445,0.476117022146295,0.411720205568115,0.286344755968882,0.459567642917527,0.372797253749638,0.706123615463008,0.521285713910765,0.506112235905318,0.566103202600592,0.42435777938693,0.318988800553281
"sm57",0.0358011702872889,0.0410557362857893,0.069697729474506,0.0460658569593051,0.138456314903411,0.333654585763471,0.278229726790701,0.172911740570765,0.297278161920964,0.208769822900307,0.221106875983189,0.0265989404238549
"sm58",0.26310544586246,0.333488732731675,0.289968459015423,0.196688310372838,0.216977906880011,0.413997073721114,0.421525947947109,0.321187005195427,0.471651052827438,0.37451071596009,0.492140096681733,0.338381989108534
"sm59",0.5363905340576,0.5150538197582,0.519548135103171,0.420637902606935,0.594901774216969,0.519690577448443,0.523278066700413,0.477528334377035,0.48860772845086,0.630270181652162,0.586770539294005,0.532417854318289
"sm60",0.221471237277833,0.300860734512311,0.212123950445926,0.223367814315632,0.382216185150146,0.426874200901319,0.405869877453801,0.345576788234802,0.366575173358088,0.309445480156814,0.430792319561472,0.309421505912083
"sm61",0.418662479738881,0.426706375057529,0.523559298033542,0.473864954653662,0.539609796813498,0.560722089436278,0.492674692647383,0.548752964266624,0.538321020158988,0.642000567739528,0.560059986542986,0.503108722945168
"sm62",0.182787663686161,0.212512589203933,0.177555320738759,0.151721805070195,0.216262727855124,0.266768680788297,0.345414791337399,0.204460211798569,0.301740595020985,0.155365433689228,0.260191193150036,0.200704136398401
"sm64",0.1781738108249,0.221328882769761,0.194887729802493,0.161758446138598,0.205957417171742,0.274454944518512,0.359553356937653,0.24647393995985,0.296654802112496,0.155132928401996,0.274933464955556,0.220698453715704
"sm65",0.51947175060845,0.495287251760414,0.500996812251294,0.390712715633253,0.579161981265277,0.481992102165089,0.498500009789998,0.468712871238415,0.466368066077216,0.628857405388953,0.562165551789401,0.494913876636129
"sm66",0.43422581781394,0.425436506844446,0.455454091199217,0.465111699861337,0.463050371634514,0.504990147303636,0.430210766172257,0.429995812616279,0.444788269816276,0.526813706418226,0.560950888319096,0.587048665249777
"sm67",0.379259272105112,0.347689099556677,0.338986895360945,0.299578971260178,0.405068625382106,0.332741969321506,0.310452939151701,0.349650966360057,0.394843587909906,0.510775002466119,0.494804988078921,0.397158142952415
"sm68",0.504563490006384,0.515623750692487,0.518379936823218,0.408462058518518,0.588655364661143,0.497234978090821,0.527368308777817,0.479788956780005,0.489834791767981,0.647210086397625,0.574775604236773,0.495621352638176
"sm69",0.0347377027351043,0.0838059995938008,0.276186195939263,0.509015113137124,0.608307297433424,0.444228099154548,0.405799093466763,0.50795048417971,0.520798399227239,0.540525893874164,0.35740163377327,0.0911151795781639
"sm70",0.472233749169335,0.425788320569208,0.475852734505158,0.397926975473727,0.454150527830686,0.370834245358705,0.358996976139276,0.406525713018137,0.465685536400846,0.579406190349705,0.546151071922239,0.503255436661666
"sm71",0.18183373762126,0.224696429380846,0.208779872902978,0.169152616523796,0.199177196484809,0.236193070701743,0.237556044876042,0.150631088290247,0.265345318080287,0.13557164671351,0.238106288242089,0.192780711107102
"sm72",0.300527656921011,0.271281399356856,0.294951055808503,0.198471703305349,0.282220614636289,0.269793708676554,0.27258384908699,0.210596578757676,0.361829102209664,0.386737696105074,0.436170581606246,0.284435676083542
