"Site","Jan_max","Feb_max","Mar_max","Apr_max","May_max","Jun_max","Jul_max","Aug_max","Sep_max","Oct_max","Nov_max","Dec_max"
"lg95",3.375,4.55,6.9,12.075,20.025,24.95,28.1,25.225,22.7,18.7,11.45,5.225
"lg96",7.125,7.475,9.8,12.375,14.1,15.45,17.05,17.725,17.05,12.35,9.125,7.325
"lg97",13.875,15.3,16.175,18.25,23.025,23.9,26.45,26,24.575,22.9,17.75,14.575
"lg98",2.2,5.775,11.525,15.375,19.625,21.8,25.8,24.65,22.7,16.625,9.25,4.025
"lg99",2.75,2.575,4.45,7.95,15.2,19.1,22.25,22.375,21.65,19.075,13,6.275
"lg100",2.025,1.975,5,11.425,15.4,19.075,22.1,21.8,19.375,10.375,5.525,1.85
"lg101",5.6,6.5,9.875,14.425,22.625,25.625,28.3,28,26.375,23.325,13.025,6.4
"lg102",1.6,1.875,5.475,8.55,11.825,16.7333333333333,19.225,19.2,16.475,10.175,5.95,2.175
"lg103",7.025,9.275,13.225,17.9,24.6,27.875,30.65,28.525,27.375,23.625,13.475,8.975
"lg104",1.925,1.85,4.2,9.875,16.8,20.6,23.5,23.4,21.7,18.3,11.075,5.2
"lg105",12.2,10.7,11.875,13.675,14.525,15.625,16.625,16.95,17.825,17.825,17.65,15.55
"lg106",7.725,9.1,12.1,16.85,23.25,26.175,27.975,26.8,25.95,22.525,13.725,8.925
"lg107",7.45,8.025,10.375,13.625,15.925,17.275,19.05,19.45,17.925,13.2,9.5,7.575
"lg108",3.025,4.3,7.3,12.2,21.225,24.175,26.7,25.35,23.4,18.675,10.575,4.85
"lg109",12.525,12.75,14.275,15.975,17.75,19.475,20.75,20.4,20.3,19.275,18.225,15.75
"lg111",3.35,4,6.45,9.525,9.175,13.425,18.6,19.35,17.45,11.05,6.5,3.375
"lg112",6.85,7.6,9.55,12.525,14.425,15.3,15.55,15.475,14.125,11.55,9.275,6.8
"lg113",5.25,8.075,11.425,17.2,19.625,22.95,25.1,24.45,22.725,14.95,9.225,4.975
"lg114",11.65,14.7,17.575,20.9,25.575,28.8,30.575,29.95,28.625,25.85,17.7,11.8
"lg115",14.375,17.4,19.225,22.25,26.85,28.525,30.325,29.9,28.2,23.55,18.15,14.15
"lg116",0,0,0.75,12.8,20.35,24.925,27.2,25.975,20.275,12.25,4,0.325
"lg117",4.375,5.6,9.25,14.05,17.375,17.925,17.325,16.55,14.45,9.725,7.25,4.275
"lg119",11.375,14.625,21.15,22.775,27.15,28.9,30.85,30.275,28.375,25.75,17.975,13.9
"lg120",6.3,6.425,7.575,8.5,9.275,9.8,10.875,10,9.325,9.775,7.9,7.15
"lg121",5.275,6.9,11.85,15.775,18.4,20.975,23.45,22.6,21.7,16.125,10.15,5.325
"lg122",0,0.025,1.075,9.35,18.85,22.85,25.425,25.35,20.2,13.1,4.575,0.525
"lg124",7.675,8.325,9.7,12.15,14.75,18.1,20.125,19.775,18.525,15.275,11.725,8.4
"lg125",4.45,5.925,9.65,15.025,22.65,25.45,27.2,25.125,24.025,19.325,10.55,5.975
"lg126",0.075,2.125,9.15,16.025,19.55,21.8,25.6,24.875,21.925,15.05,8.325,1.725
"lg127",3.975,5.675,9.025,14.6,20.225,22.6,24.675,24.6,22.575,14.075,9.4,3.725
"lg128",0.025,0.05,1.675,9.075,19.425,24.075,25.825,24.875,20.9,15.95,6.7,1.625
"lg129",8.65,9.025,10.85,15.025,18.9,21.175,23.4,23.225,20.825,15.825,11.275,8.8
"lg131",1.775,1.775,2.4,6.525,17.3,22.5,25.45,24.7,20.95,14.675,5.85,2.15
"lg133",6.15,7.8,10.7,14.1,20.9,24.225,27.075,26.675,25.425,22.75,13.475,7.05
"lg134",11.625,11.725,11.825,12.575,13.475,13.65,13.625,13.6,13.325,12.65,12.275,11.625
"lg135",2.975,6.525,12.2,15.2,18.825,22.25,25.875,25.125,23.5,17.35,10.475,5.175
"lg137",5.15,6.8,8.85,10.55,13,16.15,19.5,21.125,20.95,18.725,12.225,7.25
"lg138",7.85,8.65,10.3,13.1,16.4,19.875,22.05,21.875,19.825,15.9,12,8.55
"lg139",2,2.675,5.1,11.4,20.125,24.6,27.225,26.625,24.125,19.625,10.65,4.2
"lg140",4.825,6.425,10.05,15.025,22.75,26.7,29.075,27.9,26.45,20.75,11.575,6.925
"lg141",6.425,7.725,12.15,17.3,24.125,27.1,30.425,28.425,27.15,23.45,13.625,8.5
"lg143",5.66666666666667,7.6,10.25,14.4,21.625,25.325,28.125,27.25,26.1,22.6,13.7,7.5
"lg144",2.425,3.95,6.625,8.55,10.675,17.15,24.475,25.125,21.825,14,6.875,2.85
"lg145",4.125,4.975,8.725,11.85,14.325,17.425,20.025,19.725,18.45,14.35,9.875,5.95
"lg148",5.85,7.775,12.25,14.95,17.05,18.75,22.4,23,22.25,18.85,11.3,6.45
"lg150",0.725,2.25,5.3,10.8,20.7,24.95,27.425,26.175,22.9,17.95,8.675,3.1
"lg151",0,0,2.25,13.625,20.425,25.375,28.075,26.9,22.05,14.125,5.4,0.65
"lg152",19.725,22.6,24.5,26.3,29.4,30.55,31.4,31.2,30.575,28.85,24.375,20.1
"lg153",3.275,5.475,8.95,14.8,19.55,22.025,23.675,23.825,21.6,14.225,9.475,3.75
"lg154",5.575,7.1,10.225,13.525,15.175,17.325,21.1,19.875,16.275,13.8,9.175,6
"lg155",1.875,3.25,7.95,14.65,21.65,24.95,26.925,25.725,22.8,18.05,8.9,4.8
"lg156",4.15,4.425,6.05,8.2,10.2,14.425,14.975,11.3,12.7,11.85,7.925,5.025
"lg157",7.375,7.25,8.525,11.1,13.125,14.125,14.475,14.025,13.225,12.525,11.075,9.1
"lg158",7.9,8.5,10.4,13.475,17.45,21.075,23.65,23.85,20.95,15.875,12.025,8.75
"lg159",12.95,14.4,17.425,22.275,25.925,27.225,28.375,28.6,26.75,20.55,16.175,12.65
"lg160",4.85,5.275,6.75,9.15,10.95,15.25,16.075,13,13.875,12.4,8.75,5.525
"lg161",7.4,8.2,10.375,13.75,17.975,19.975,20.525,20.225,18.1,14.025,11.525,8.45
"lg164",7.675,8.2,9.85,12.975,17.3,21.225,23.85,24.425,21.575,16.575,11.85,8.7
"lg165",3.475,4.5,7.325,13.725,21.125,25.725,28.45,26.95,25.425,20.65,11.125,4.975
"lg166",13.225,14.775,17.075,20.975,23.925,26.525,27.275,27.8,25.475,19.775,16.4,12.9
"lg167",8.3,11.75,18.35,20.525,25.35,28.4,29.475,28.75,26.55,22.35,15.425,10.35
"lg168",9.45,12.475,18.2,21.15,25.325,29.175,30.975,29.55,27.675,24.225,16.225,11.5
"lg169",10.55,13.25,19.075,21.5,25.925,28.875,31.25,30.075,28.475,25.175,17.1,12.8
"lg170",11.125,12.7,13.975,18.625,20.85,22.725,22.15,21.7,20.625,16.8,14.5,11.65
"lg171",3.85,5.675,9.85,13.225,16.45,20.275,22.925,23.275,22.225,18.925,12.8,7.25
"lg172",0.25,0.9,7.175,12.425,16.525,19.375,22.975,23.1,19.6,11.325,6.05,0.975
"lg173",5.1,4.175,4.15,6.125,8,12.025,15.125,15.15,14.85,13.525,10.125,7.35
"lg174",12.225,15.475,21.25,24.05,29.3,31,31.65,30.95,29.025,25.475,19.075,14.15
"lg175",1.425,1.6,3.15,7.5,12.35,15.8,18.675,18.725,17.675,14.075,9.2,4.625
"lg176",3.025,5.775,11.3,15.375,16.9,20.25,23.825,23.375,21.75,15.95,9.95,4.275
